# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1491
#@/user_id	29f50511-2ff1-467a-b4e1-0cf2271c2eee
a 	啊	c=5 d=1.24199 t=1491
zhe shen me yu yan 	者什麼語言	c=1 d=1 t=963
zhe shi 	這是	c=4 d=1.33212 t=1205
zhe xie 	這些	c=1 d=1 t=251
zhe yang 	這樣	c=0 d=0.1 t=291
zhe zhang 	這張	c=0 d=0.1 t=72
zhe zhang tu pian 	這張圖片	c=1 d=1 t=73
zhe zhong 	這種	c=5 d=2.16157 t=1293
zhe zhong mi 	這種米	c=1 d=1 t=1249
zhen 	真	c=3 d=1.02732 t=1372
zhen de shi 	真的是	c=1 d=1 t=745
zhen qin 	真琴	c=1 d=1 t=101
zhen shi 	真是	c=0 d=0.1 t=1120
zhen shi fu le 	真是服了	c=1 d=1 t=1121
zhen tan lan 	真貪婪	c=1 d=1 t=840
zhen zheng 	真正	c=2 d=1.02645 t=1374
zhen zheng de 	真正的	c=1 d=1 t=1014
zheng 	正	c=1 d=1 t=1481
zheng chang 	正常	c=1 d=1 t=93
zheng fang xing 	正方形	c=1 d=1 t=1086
zhi 	只	c=1 d=0.113501 t=1049
zhi ba 	只把	c=1 d=1 t=887
zhi dao 	知道	c=0 d=0.1 t=1099
zhi hu 	支護	c=1 d=1 t=442
zhi hu 	知乎	c=3 d=1.08017 t=1155
zhi jie 	直接	c=1 d=0.147596 t=947
zhi jie yan she 	直接顏射	c=1 d=1 t=948
zhi liao 	治療	c=1 d=1.09753 t=1337
zhi ling 	指令	c=0 d=0.1 t=243
zhi qian 	之前	c=2 d=1.3396 t=791
zhi shi 	只是	c=0 d=0.1 t=63
zhi xiang 	指向	c=1 d=1 t=276
zhi ye 	職業	c=1 d=1 t=1380
zhi you 	只有	c=0 d=0.1 t=1019
zhi you yi ge 	只有一個	c=1 d=1 t=1020
zhi zhang 	智障	c=1 d=1 t=956
zhi zhen 	指針	c=0 d=0.177105 t=274
zhi zhu 	之主	c=1 d=1 t=364
zhong duan 	終端	c=1 d=1 t=441
zhu 	主	c=1 d=1.07531 t=372
zhu 	住	c=1 d=1 t=973
zhu bo 	主播	c=3 d=1.7816 t=1216
zhu rou 	豬肉	c=2 d=1.99005 t=202
zhu shi 	註釋	c=1 d=1 t=207
zhuan huan 	轉換	c=1 d=0.98692 t=296
zhuan ji yin 	轉基因	c=2 d=1.90937 t=1262
zhuo mian 	桌面	c=2 d=1.00229 t=1228
zhuo zi 	桌子	c=0 d=0.1 t=845
zhuo zi xia mian 	桌子下面	c=1 d=1 t=846
zi dong 	自動	c=1 d=1.00111 t=1186
zi dong hui shou 	自動回收	c=1 d=1 t=287
zi fu 	字符	c=2 d=1.98511 t=230
zi fu chuan 	字符串	c=2 d=1.90937 t=621
zi gong zi shou 	自攻自受	c=1 d=1 t=871
zi ji 	自己	c=2 d=1.51392 t=888
zi ji de 	自己的	c=1 d=1 t=855
zi ran ma 	自然碼	c=1 d=1 t=39
zi zhi 	自製	c=2 d=1.50662 t=558
zong 	總	c=2 d=1.00185 t=1365
zong shi 	總是	c=1 d=1 t=759
zu 	足	c=21 d=3.01741 t=1391
zu he 	組合	c=1 d=1 t=26
zuan shi 	鑽石	c=1 d=1 t=1453
zui 	最	c=0 d=0.1 t=343
zui hou 	最後	c=3 d=1.01066 t=1252
zui jian dan 	最簡單	c=1 d=1 t=344
zui qiang 	最強	c=0 d=0.1 t=1056
zui qiang de 	最強的	c=1 d=1 t=1057
zui zhu yao 	最主要	c=1 d=1 t=257
zuo 	左	c=0 d=0.1 t=262
zuo cao zuo shu 	左操作數	c=1 d=1 t=263
zuo chu 	做出	c=1 d=1 t=1348
zuo pin 	作品	c=1 d=1 t=129
zuo tian 	昨天	c=1 d=1 t=655
zuo xia 	左下	c=1 d=1 t=578
zuo yi 	左移	c=0 d=0.1 t=300
zuo yi wei 	左移位	c=1 d=1 t=301
